date,N2,CH4,CO2
1552659218000,1899.78,2045680.0,763057.0
1552659341000,1913.84,2046520.0,763252.0
1552659462000,1910.18,2037010.0,763227.0
1552659582000,1902.22,2040220.0,763892.0
1552659702000,1916.14,2053230.0,763227.0
1552659823000,1915.4,2049130.0,763215.0
1552659945000,1890.78,2041080.0,764055.0
1552660066000,1896.12,2042580.0,763609.0
1552660187000,1913.06,2046070.0,763216.0
1552660307000,1919.74,2048830.0,763612.0
1552660427000,1910.88,2052090.0,763705.0
1552660547000,1906.48,2051730.0,763220.0
1552660668000,1907.78,2049610.0,764029.0
1552660790000,1896.92,2032680.0,763396.0
1552660911000,1928.06,2050630.0,763326.0
1552661031000,1913.82,2049110.0,763780.0
1552661153000,1915.04,2048990.0,763346.0
1552661273000,1921.62,2043490.0,764011.0
1552661393000,1878.1,2009130.0,763465.0
1552661514000,1911.64,2050660.0,763827.0
1552661634000,1900.26,2044200.0,763134.0
1552661754000,1900.84,2045060.0,762993.0
1552661874000,1908.18,2040470.0,763226.0
1552661994000,1909.44,2038710.0,763051.0
1552662115000,1908.62,2036980.0,763031.0
1552662235000,1908.6,1728530.0,763989.0
1552662355000,1925.52,2049100.0,763861.0
1552662476000,1911.2,2049830.0,763175.0
1552662598000,1913.52,2044520.0,764186.0
1552662718000,1903.6,2044960.0,764114.0
1552662838000,1912.36,2052740.0,763883.0
1552662958000,1905.82,2045500.0,763196.0
1552663079000,1915.38,2048100.0,763550.0
1552663199000,1916.14,2045570.0,764100.0
1552663320000,1919.08,2050110.0,763461.0
1552663442000,1919.2,2042770.0,763333.0
1552663562000,1910.52,2040580.0,763715.0
1552663683000,1909.82,2050440.0,763460.0
1552663805000,1919.36,2044120.0,763584.0
1552663927000,1907.22,2044140.0,763686.0
1552664049000,1911.56,2049750.0,763562.0
1552664170000,1918.0,2049170.0,763326.0
1552664291000,1905.56,2040300.0,763513.0
1552664412000,1925.56,2061460.0,763629.0
1552664533000,1922.04,2063340.0,763431.0
1552664653000,1907.64,2044220.0,763061.0
1552664773000,1897.4,2036310.0,763665.0
1552664897000,1915.42,2040720.0,763203.0
1552665017000,1905.4,2043870.0,763658.0
1552665138000,1902.18,1729220.0,762955.0
1552665258000,1894.32,2034720.0,763728.0
1552665379000,1882.56,2029880.0,761668.0
1552665499000,1903.28,1740410.0,763335.0
1552665619000,1903.86,2042780.0,763411.0
1552665740000,1909.94,2039590.0,763410.0
1552665861000,1908.86,2044910.0,763748.0
1552665983000,1911.74,2044000.0,762901.0
1552666105000,1893.04,2037570.0,763059.0
1552666227000,1891.08,2038070.0,763164.0
1552666347000,1900.06,2034140.0,763331.0
1552666467000,1910.94,2043050.0,763593.0
1552666587000,1898.6,2037380.0,763123.0
1552666709000,1894.88,2036720.0,762692.0
1552666829000,1933.12,2041040.0,763542.0
1552666949000,1902.76,2039170.0,763590.0
1552667069000,1905.54,2045370.0,763529.0
1552667189000,1906.56,2043840.0,763204.0
1552667311000,1907.96,2045480.0,763676.0
1552667431000,1931.16,2044130.0,763496.0
1552667553000,1900.8,2042440.0,762501.0
1552667673000,1898.04,2035250.0,762947.0
1552667793000,1918.6,2038160.0,763262.0
1552667916000,1902.2,2044110.0,763647.0
1552668036000,1873.36,2040780.0,763694.0
1552668156000,1891.0,2042020.0,763908.0
1552668276000,1901.44,2036430.0,763950.0
1552668398000,1898.44,2039660.0,763694.0
1552668518000,1901.44,2034410.0,763060.0
1552668638000,1904.58,2040390.0,763254.0
1552668758000,1896.08,2038560.0,763068.0
1552668878000,1910.64,2041140.0,763637.0
1552669000000,1905.82,2041130.0,763387.0
1552669124000,1905.62,2042760.0,763551.0
1552669244000,1899.54,2036950.0,763460.0
1552669366000,1892.08,2030160.0,763141.0
1552669486000,1898.42,2036090.0,763551.0
1552669606000,1894.82,2033050.0,763837.0
1552669726000,1893.54,2039390.0,763936.0
1552669846000,1898.18,2044630.0,764235.0
1552669966000,1907.88,2040030.0,763817.0
1552670086000,1894.5,2032870.0,762979.0
1552670207000,1902.88,2044600.0,763829.0
1552670329000,1899.6,2035890.0,763443.0
1552670449000,1912.38,2044070.0,763837.0
1552670569000,1907.18,2030860.0,763848.0
1552670691000,1899.36,2034940.0,763459.0
1552670813000,1908.54,2044170.0,763292.0
1552670933000,1899.54,2041760.0,763679.0
1552671054000,1906.92,2042060.0,764099.0
1552671174000,1904.16,2031740.0,763083.0
1552671296000,1904.88,2031430.0,763496.0
1552671417000,1898.32,2030590.0,763051.0
1552671537000,1904.04,2037780.0,763552.0
1552671659000,1889.7,2034190.0,763320.0
1552671779000,1905.64,2037210.0,764208.0
1552671899000,1896.32,2042580.0,763353.0
1552672021000,1904.66,2045510.0,763281.0
1552672142000,1903.24,2045230.0,763089.0
1552672262000,1904.58,2037110.0,763454.0
1552672384000,1898.42,2032250.0,763377.0
1552672506000,1901.52,2048410.0,762973.0
1552672628000,1908.56,2047880.0,762588.0
1552672750000,1911.24,2042960.0,763646.0
1552672870000,1921.9,2040830.0,763771.0
1552672990000,1908.32,2043760.0,762929.0
1552673112000,1908.66,2042730.0,762421.0
1552673234000,1913.44,2038730.0,762825.0
1552673358000,1903.5,2047520.0,762938.0
1552673480000,1916.08,2043700.0,762743.0
1552673602000,1898.36,2039980.0,763008.0
1552673723000,1917.38,2037190.0,763244.0
1552673843000,1912.46,2041510.0,762601.0
1552673963000,1906.68,2045290.0,763653.0
1552674086000,1909.66,2038810.0,762863.0
1552674210000,1897.76,2037920.0,763621.0
1552674334000,1906.62,2033440.0,763607.0
1552674454000,1916.76,2043410.0,762942.0
1552674575000,1908.28,2049270.0,762690.0
1552674697000,1911.72,2045820.0,763849.0
1552674819000,1895.26,2038510.0,762834.0
1552674941000,1915.16,2042820.0,763245.0
1552675062000,1901.8,2036270.0,763235.0
1552675187000,1901.26,2031890.0,763084.0
1552675307000,1901.76,2038740.0,763092.0
1552675427000,1914.86,2045410.0,762699.0
1552675551000,1905.66,2043350.0,763201.0
1552675675000,1901.64,2039230.0,763484.0
1552675796000,1913.88,2038820.0,763345.0
1552675918000,1901.12,2033560.0,763795.0
1552676039000,1904.32,2031300.0,763449.0
1552676161000,1898.54,2040520.0,762805.0
1552676283000,1905.2,2032730.0,763043.0
1552676405000,1901.64,2036240.0,763666.0
1552676527000,1895.72,2030590.0,763195.0
1552676647000,1889.08,2032850.0,762985.0
1552676768000,1890.78,2038840.0,762919.0
1552676890000,1905.14,2035320.0,763667.0
1552677015000,1903.02,2035890.0,763653.0
1552677136000,1897.2,2032120.0,763480.0
1552677257000,1890.16,2025660.0,763187.0
1552677380000,1889.0,2028240.0,763018.0
1552677501000,1905.86,2032560.0,762945.0
1552677623000,1894.46,2033740.0,763078.0
1552677743000,1892.24,2029400.0,762804.0
1552677864000,1893.74,2026090.0,763303.0
1552677984000,1912.12,2041400.0,763482.0
1552678105000,1912.14,2042040.0,763835.0
